Column 1,IP Semester 1,IP Semester 2,IP Semester 3,IP Semester 4,IP Semester 5,IP Semester 6
11/9/2025 23:42:20,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:43:02,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:43:29,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:44:05,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:44:38,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:45:02,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:45:26,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:45:55,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:46:24,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:46:53,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:47:28,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:47:49,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:48:21,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:48:43,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:49:10,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:49:41,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:50:14,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:50:42,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:51:07,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:51:48,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,1.01 - 2.00,2.76 - 3.25
11/9/2025 23:52:16,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:52:39,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:53:00,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:53:24,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:53:50,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:54:17,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:54:51,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:55:39,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25
11/9/2025 23:56:05,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25
11/9/2025 23:57:00,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:57:19,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/9/2025 23:57:54,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:58:23,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/9/2025 23:59:03,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/9/2025 23:59:50,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 0:00:39,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 0:01:07,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.76 - 3.25
11/10/2025 0:01:33,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 0:02:07,1.01 - 2.00,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.76 - 3.25
11/10/2025 0:02:34,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 0:03:03,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 0:03:29,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.76 - 3.25
11/10/2025 0:04:13,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75
11/10/2025 0:04:43,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,3.25 - 4.00
11/10/2025 0:05:14,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 0:05:42,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75
11/10/2025 0:06:02,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 0:06:35,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:35:05,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:35:28,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:35:46,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:37:03,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,3.25 - 4.00
11/10/2025 14:37:21,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:37:45,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:38:36,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 14:39:00,1.01 - 2.00,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:39:21,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:39:53,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:40:12,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:40:38,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:40:55,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 14:41:21,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:41:38,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:42:04,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:42:28,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:42:49,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:43:09,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:43:31,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:43:52,2.01 - 2.75,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:44:13,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:44:52,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:45:09,2.01 - 2.75,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:45:28,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:45:55,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 14:46:31,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:46:48,2.01 - 2.75,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:47:24,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:47:45,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:48:22,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:48:45,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:49:20,2.01 - 2.75,3.25 - 4.00,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:49:43,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 14:50:02,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:50:33,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:50:57,2.01 - 2.75,1.01 - 2.00,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:51:29,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:51:44,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:52:02,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:52:15,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:52:41,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 14:53:05,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 14:53:27,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,3.25 - 4.00
11/10/2025 14:53:46,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00
11/10/2025 14:54:04,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,1.01 - 2.00,3.25 - 4.00
11/10/2025 15:06:45,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00,3.25 - 4.00
11/10/2025 16:58:45,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 16:59:18,2.76 - 3.25,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 16:59:51,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00,3.25 - 4.00
11/10/2025 17:00:16,2.01 - 2.75,3.25 - 4.00,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,3.25 - 4.00
11/10/2025 17:00:40,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25,1.01 - 2.00,2.76 - 3.25
11/10/2025 17:01:29,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,2.76 - 3.25
11/10/2025 17:01:47,2.01 - 2.75,2.76 - 3.25,2.76 - 3.25,2.76 - 3.25,2.01 - 2.75,2.76 - 3.25
11/10/2025 17:02:41,2.01 - 2.75,2.76 - 3.25,2.01 - 2.75,2.01 - 2.75,2.01 - 2.75,3.25 - 4.00